,MAGLIE,CAMICIE,GONNE,PANTALONI,VESTITI,GIACCHE
2017-09-03,23,31,1,29,24,10
2017-09-04,11,13,1,9,15,5
2017-09-05,12,3,0,3,10,7
2017-09-06,17,13,0,13,21,8
2017-09-07,10,13,1,13,15,8
2017-09-08,17,9,0,7,11,8
2017-09-09,47,47,1,40,28,24
2017-09-10,38,43,2,35,26,31
2017-09-11,18,24,2,13,7,5
2017-09-12,25,14,0,12,17,6
2017-09-13,27,11,0,17,6,13
2017-09-14,17,21,4,15,13,16
2017-09-15,21,11,1,16,17,15
2017-09-16,45,44,6,49,29,31
2017-09-17,50,33,4,57,20,29
2017-09-18,19,12,3,15,11,10
2017-09-19,6,10,0,8,15,10
2017-09-20,13,16,1,14,14,10
2017-09-21,4,14,0,9,16,9
2017-09-22,12,10,0,16,13,12
2017-09-23,27,33,1,37,34,29
2017-09-24,43,37,5,37,49,35
2017-09-25,16,7,2,25,8,10
2017-09-26,15,8,1,13,13,8
2017-09-27,14,8,1,10,16,9
2017-09-28,10,5,1,6,18,1
2017-09-29,15,8,2,9,25,14
2017-09-30,39,18,4,26,70,27
2017-10-01,38,17,2,35,35,37
2017-10-02,13,12,3,10,10,10
2017-10-03,15,7,2,9,10,8
2017-10-04,8,9,2,6,12,7
2017-10-05,19,5,2,6,27,14
2017-10-06,12,9,2,14,18,10
2017-10-07,54,19,4,36,25,25
2017-10-08,40,17,6,27,30,22
2017-10-09,20,6,2,15,17,9
2017-10-10,18,6,4,8,10,10
2017-10-11,21,7,3,16,9,12
2017-10-12,31,12,2,14,16,8
2017-10-13,31,7,7,26,26,15
2017-10-14,38,20,8,30,58,24
2017-10-15,50,21,8,33,34,26
2017-10-16,15,6,2,12,16,6
2017-10-17,16,8,1,12,5,10
2017-10-18,17,2,4,10,4,9
2017-10-19,10,12,2,11,5,7
2017-10-20,33,6,6,13,27,16
2017-10-21,66,12,3,27,36,33
2017-10-22,60,18,5,28,34,23
2017-10-23,19,5,1,16,28,9
2017-10-24,17,5,0,8,17,12
2017-10-25,28,12,0,12,16,2
2017-10-26,16,8,3,10,21,7
2017-10-27,24,12,3,13,19,10
2017-10-28,48,17,6,29,55,20
2017-10-29,59,18,6,33,71,40
2017-10-30,18,10,2,12,27,13
2017-10-31,28,5,4,5,27,12
2017-11-01,53,7,3,26,59,33
2017-11-02,32,7,3,15,30,10
2017-11-03,25,10,6,15,42,18
2017-11-04,52,19,5,16,64,28
2017-11-05,47,13,5,21,52,17
2017-11-06,12,3,3,11,9,12
2017-11-07,18,8,0,12,21,8
2017-11-08,19,5,0,4,14,11
2017-11-09,21,1,0,5,14,7
2017-11-10,27,5,2,9,23,14
2017-11-11,44,10,4,23,53,16
2017-11-12,39,9,4,18,45,21
2017-11-13,15,5,0,7,19,11
2017-11-14,14,3,1,5,15,9
2017-11-15,22,4,0,7,27,14
2017-11-16,21,3,0,10,22,13
2017-11-17,19,6,1,10,21,16
2017-11-18,37,14,2,22,40,5
2017-11-19,49,10,4,16,39,9
2017-11-20,11,4,0,10,8,7
2017-11-21,16,4,1,5,14,18
2017-11-22,30,4,3,8,25,8
2017-11-23,17,6,4,6,21,8
2017-11-24,215,30,7,50,130,75
2017-11-25,131,29,9,39,117,69
2017-11-26,110,19,4,23,83,60
2017-11-27,47,11,1,14,30,31
2017-11-28,7,3,0,3,15,9
2017-11-29,15,5,1,7,22,17
2017-11-30,28,2,1,4,18,7
2017-12-01,20,1,1,10,13,13
2017-12-02,43,5,2,13,49,33
2017-12-03,37,5,3,17,41,44
2017-12-04,23,3,6,4,23,17
2017-12-05,24,5,0,5,19,7
2017-12-06,23,2,2,13,22,12
2017-12-07,49,5,1,2,32,18
2017-12-08,69,7,4,9,53,25
2017-12-09,64,12,3,15,40,36
2017-12-10,43,9,1,10,38,26
2017-12-11,28,4,0,0,13,15
2017-12-12,39,4,5,4,19,13
2017-12-13,44,4,0,4,32,12
2017-12-14,34,3,1,9,16,22
2017-12-15,34,3,1,5,34,16
2017-12-16,88,12,3,8,64,28
2017-12-17,61,11,2,11,52,23
2017-12-18,34,2,2,2,41,18
2017-12-19,41,2,0,4,48,14
2017-12-20,32,4,1,3,29,13
2017-12-21,31,3,0,7,38,17
2017-12-22,27,3,2,8,30,9
2017-12-23,48,6,1,4,36,11
2017-12-24,24,4,1,2,25,10
2017-12-25,0,0,0,0,0,0
2017-12-26,0,0,0,0,0,0
2017-12-27,30,2,0,4,34,9
2017-12-28,23,13,0,3,34,18
2017-12-29,30,5,0,7,45,13
2017-12-30,45,9,0,9,53,17
2017-12-31,22,4,0,4,11,8
2018-01-01,0,0,0,0,0,0
2018-01-02,24,2,1,2,9,1
2018-01-03,22,1,0,5,3,0
2018-01-04,16,2,0,0,9,1
2018-01-05,21,0,3,6,14,2
2018-01-06,22,3,0,9,15,5
2018-01-07,23,1,0,2,17,4
2018-01-08,15,0,0,0,3,1
2018-01-09,10,1,1,0,4,0
2018-01-10,12,2,0,5,2,0
2018-01-11,12,1,0,6,3,1
2018-01-12,9,3,1,1,5,0
2018-01-13,24,4,2,5,17,6
2018-01-14,26,2,0,7,10,1
2018-01-15,5,2,0,3,3,2
2018-01-16,7,4,0,1,3,1
2018-01-17,7,3,1,2,9,0
2018-01-18,13,3,0,5,6,3
2018-01-19,7,0,0,1,4,1
2018-01-20,7,7,0,7,9,5
2018-01-21,17,4,0,6,12,2
2018-01-22,7,4,0,1,2,1
2018-01-23,4,0,0,1,1,0
2018-01-24,3,1,0,2,3,2
2018-01-25,6,0,0,1,2,1
2018-01-26,8,2,0,1,4,2
2018-01-27,22,4,0,4,9,2
2018-01-28,12,2,2,4,7,4
2018-01-29,7,3,0,3,3,1
2018-01-30,10,2,0,2,2,2
2018-01-31,11,1,0,3,6,1
2018-02-01,9,5,2,2,1,1
2018-02-02,2,5,0,3,5,3
2018-02-03,36,14,1,8,17,5
2018-02-04,25,4,0,11,11,5
2018-02-05,8,5,1,4,2,2
2018-02-06,9,1,1,3,9,1
2018-02-07,5,9,1,2,5,1
2018-02-08,5,4,1,1,6,2
2018-02-09,21,6,0,7,8,1
2018-02-10,25,19,1,14,20,7
2018-02-11,28,8,1,12,24,8
2018-02-12,12,10,1,10,8,7
2018-02-13,22,4,0,7,7,2
2018-02-14,12,7,0,10,6,5
2018-02-15,13,8,0,3,8,3
2018-02-16,21,6,1,3,11,1
2018-02-17,20,5,0,8,14,5
2018-02-18,31,5,2,9,12,4
2018-02-19,10,6,0,7,4,0
2018-02-20,10,4,1,3,2,2
2018-02-21,8,7,0,2,9,0
2018-02-22,3,6,0,8,7,3
2018-02-23,15,10,1,4,9,4
2018-02-24,35,30,2,24,31,6
2018-02-25,40,22,0,28,25,13
2018-02-26,11,9,0,4,3,3
2018-02-27,7,4,1,4,1,5
2018-02-28,14,13,0,14,11,5
2018-03-01,8,1,0,5,8,0
2018-03-02,5,3,0,7,10,3
2018-03-03,32,31,2,16,26,7
2018-03-04,35,33,1,19,38,16
2018-03-05,9,13,0,8,14,4
2018-03-06,12,5,3,6,12,6
2018-03-07,9,11,1,10,5,3
2018-03-08,8,12,1,7,17,7
2018-03-09,16,4,1,8,12,6
2018-03-10,30,41,1,30,47,24
2018-03-11,30,33,5,30,35,23
2018-03-12,12,3,1,8,16,7
2018-03-13,13,4,0,3,10,4
2018-03-14,11,11,1,4,20,7
2018-03-15,18,18,2,12,10,8
2018-03-16,7,19,2,7,20,9
2018-03-17,47,40,4,36,43,33
2018-03-18,55,41,0,27,41,23
2018-03-19,30,15,1,18,25,22
2018-03-20,7,6,0,6,12,3
2018-03-21,15,7,0,11,15,13
2018-03-22,11,10,0,19,17,10
2018-03-23,17,22,1,12,17,19
2018-03-24,25,39,5,33,38,31
2018-03-25,34,38,0,37,39,32
2018-03-26,15,10,2,9,15,9
2018-03-27,17,12,2,13,24,10
2018-03-28,20,18,0,10,16,7
2018-03-29,24,24,1,28,25,15
2018-03-30,61,38,2,26,43,19
2018-03-31,47,61,3,30,47,30
2018-04-01,0,0,0,0,0,0
2018-04-02,38,42,2,35,36,24
2018-04-03,41,34,2,18,27,25
2018-04-04,6,25,1,16,21,15
2018-04-05,22,17,0,16,25,14
2018-04-06,19,11,0,20,23,15
2018-04-07,72,52,1,36,44,37
2018-04-08,47,45,1,32,45,36
2018-04-09,17,20,1,24,18,16
